@relation OPENJPA_10_TrainingSet.arff

@attribute SIZE numeric
@attribute LOC_ADDED numeric
@attribute LOC_ADDED_AVG numeric
@attribute LOC_ADDED_MAX numeric
@attribute LOC_REMOVED numeric
@attribute LOC_REMOVED_AVG numeric
@attribute LOC_REMOVED_MAX numeric
@attribute CHURN numeric
@attribute CHURN_AVG numeric
@attribute CHURN_MAX numeric
@attribute LOC_TOUCHED numeric
@attribute LOC_TOUCHED_AVG numeric
@attribute LOC_TOUCHED_MAX numeric
@attribute NUMBER_OF_REVISIONS numeric
@attribute NUMBER_OF_DEFECT_FIXES numeric
@attribute NUMBER_OF_AUTHORS numeric
@attribute IS_BUGGY {'YES', 'NO'}

@data
62,62,31.0,62,0,0.0,0,62,31.0,62,62,31.0,62,2,0,1,NO
100,100,50.0,100,0,0.0,0,100,50.0,100,100,50.0,100,2,0,1,NO
211,215,53.75,211,3,0.75,2,218,54.5,211,212,53.0,211,4,0,2,NO
257,259,86.33333333333333,257,2,0.6666666666666666,2,261,87.0,257,257,85.66666666666667,257,3,0,2,NO
147,151,37.75,147,3,0.75,2,154,38.5,147,148,37.0,147,4,0,2,NO
50,50,16.666666666666668,49,0,0.0,0,50,16.666666666666668,49,50,16.666666666666668,49,3,0,1,NO
603,618,206.0,609,15,5.0,15,633,211.0,609,615,205.0,609,3,0,2,NO
873,927,132.42857142857142,900,54,7.714285714285714,34,981,140.14285714285714,900,933,133.28571428571428,900,7,0,3,NO
52,57,19.0,50,5,1.6666666666666667,5,62,20.666666666666668,50,52,17.333333333333332,50,3,0,2,NO
58,58,29.0,58,0,0.0,0,58,29.0,58,58,29.0,58,2,0,1,NO
158,158,79.0,158,0,0.0,0,158,79.0,158,158,79.0,158,2,0,1,NO
61,65,21.666666666666668,65,4,1.3333333333333333,4,69,23.0,65,69,23.0,65,3,0,1,NO
135,135,67.5,135,0,0.0,0,135,67.5,135,135,67.5,135,2,0,1,NO
189,189,94.5,189,0,0.0,0,189,94.5,189,189,94.5,189,2,0,1,NO
376,420,140.0,384,44,14.666666666666666,44,464,154.66666666666666,384,392,130.66666666666666,384,3,0,1,NO
259,276,69.0,262,17,4.25,15,293,73.25,262,265,66.25,262,4,0,2,NO
32,32,16.0,32,0,0.0,0,32,16.0,32,32,16.0,32,2,0,1,NO
243,244,61.0,233,1,0.25,1,245,61.25,233,243,60.75,233,4,0,2,YES
42,42,21.0,42,0,0.0,0,42,21.0,42,42,21.0,42,2,0,1,NO
126,130,32.5,127,4,1.0,3,134,33.5,127,128,32.0,127,4,0,2,NO
58,61,20.333333333333332,58,3,1.0,3,64,21.333333333333332,58,58,19.333333333333332,58,3,0,2,NO
168,169,56.333333333333336,168,1,0.3333333333333333,1,170,56.666666666666664,168,168,56.0,168,3,0,2,NO
172,174,43.5,164,2,0.5,2,176,44.0,164,172,43.0,164,4,0,2,YES
322,428,61.142857142857146,285,106,15.142857142857142,52,534,76.28571428571429,285,332,47.42857142857143,285,7,0,3,YES
46,46,23.0,46,0,0.0,0,46,23.0,46,46,23.0,46,2,0,1,NO
38,38,19.0,38,0,0.0,0,38,19.0,38,38,19.0,38,2,0,1,NO
96,107,26.75,106,11,2.75,10,118,29.5,106,116,29.0,106,4,0,2,NO
1383,1720,172.0,1458,337,33.7,122,2057,205.7,1458,1559,155.9,1458,10,0,3,YES
628,726,121.0,636,98,16.333333333333332,52,824,137.33333333333334,636,644,107.33333333333333,636,6,0,2,YES
43,43,21.5,43,0,0.0,0,43,21.5,43,43,21.5,43,2,0,1,NO
455,466,155.33333333333334,457,11,3.6666666666666665,11,477,159.0,457,459,153.0,457,3,0,2,NO
360,373,124.33333333333333,369,13,4.333333333333333,13,386,128.66666666666666,369,378,126.0,369,3,0,2,NO
217,217,108.5,217,0,0.0,0,217,108.5,217,217,108.5,217,2,0,1,NO
441,456,114.0,445,15,3.75,14,471,117.75,445,449,112.25,445,4,0,3,YES
177,177,88.5,177,0,0.0,0,177,88.5,177,177,88.5,177,2,0,1,YES
